periodico,titulo,cuerpo,fecha,categoria
La Razon,El Gobierno refuerza plan para ‘insertar’ 11.000 empleos con salario subvencionado,"De cara a la crisis, el Gobierno reforzó los programas estatales para preservar y generar al menos 11.000 empleos formales a escala nacional con la subvención de salarios de hasta Bs 3.000 durante el segundo semestre de este año. Así lo anunció este miércoles el ministro de Trabajo, Empleo y Previsión Social, Óscar Mercado, en el marco del plan gubernamental de reactivación económica. “Queremos anunciar que se tiene alrededor de 11 millones de dólares disponibles para que podamos generar inserciones laborales en el sector formal de la economía a partir de inserciones que las va a realizar a realizar el Servicio Público de Empleo (SPE) y el Programa de Apoyo al Empleo (PAE II)”, dijo. El Gobierno asumirá el papel de un intermediador entre el futuro empleado y el empleador. Para ese fin, se reforzaron los servicios de atención denominados “puntos de empleo” para que los interesados, entre ellos profesionales, se afilien “sin burocracia” a una nómina que luego será evaluada en función a los requerimientos de la firmas. Mercado explicó que su despacho hizo gestiones para que los recursos programados a largo plazo en el SPE y el PAE sean canalizados en esta gestión para afrontar premisamente la crisis generada por el nuevo coronavirus. “El objetivo que nos hemos trazado como ministerio es generar al menos 11.000 inserciones laborales entre los próximos tres a seis meses”, dijo. El Gobierno espera alcanzar el 45% de esa cifra en los primeros dos meses. De manera inicial se beneficiará a las medianas, pequeñas y micro empresas, pero no se descartan otros sectores como el agropecuario y el de la tecnología. “Vamos a asumir los primeros meses de sueldo, entre tres a seis meses, dependiendo de las circunstancias, va a ser el Ministerio de Trabajo a través del PAE que ha de subvencionar estos salarios que han de ser promedios entre un salario básico establecido hasta 3.000 bolivianos”, dijo. El fin —dijo Mercado— es frenar la ola de despidos que se han denunciado en varios puntos del país. (01/07/2020) ",01-07-2020,economia
La Razon,Revilla descarta incremento de pasajes y Arias pide a los choferes cumplir su ‘palabra’,"Varios sindicatos del transporte público se han movilizado este miércoles en La Paz en demanda del incremento en 50 centavos de los pasajes del transporte público. El alcalde Luis Revilla ha descartado ese extremo y el ministro Iván Arias los emplazo a cumplir con su palabra. “No hay ninguna posibilidad de incrementar tarifas, eso no va a ocurrir. Y por lo demás, no hay forma que los choferes obliguen a los ciudadanos a subirse en mayor cantidad dentro de sus vehículos ni a salir de sus casas, eso tampoco va a ocurrir y vamos a proseguir con los controles que corresponde a la guardia municipal y a la Policía Boliviana”, dijo Revilla. Desde temprano, varias agrupaciones de choferes del transporte público La Paz se movilizaron este miércoles por el incremento de los pasajes en plena cuarentena por el coronavirus, la habilitación de más pasajeros por motorizado y por el diferimiento de sus créditos bancarios. Revilla calificó los planteamientos del sector como “irracionales” y atribuyó la movilización a intereses políticos en medio de lo que considera un fraccionamiento del sector. “El clima electoral está obnubilando la mente de algunos dirigentes sin considerar la delicadísima situación de salud por la que atraviesa la ciudad de La Paz”, reclamó Revilla. Por su lado, Arias, el ministro de Obras Públicas, Servicios y Vivienda, exhortó a los transportistas a cumplir la “palabra de caballeros” que empeñaron respecto al incremento de la tarifa. “Hemos sido el primer departamento donde se ha flexibilizado el servicio del transporte y hemos hecho un acuerdo, yo pido a los chóferes que respeten su palabra de caballeros: que no se iba a tocar el tema de tarifas; este fue un criterio fundamental y no puede ser con otro tema”, reclamó, reportó radio Éxito. En ese sentido, recordó el acuerdo firmado con el sector para mantener intacta la tarifa. “Cumplan su palabra, ese tema estaba fuera de discusión”, emplazó Arias. (01/07/2020) ",01-07-2020,sociedad
La Razon,Murillo ordena buscar a cabecillas del ‘grupo salvaje’ que atacó a policías y funcionarios en Punata,"El ministro de Gobierno, Arturo Murillo, anunció este miércoles que ordenó buscar a los cabecillas de lo que ha calificado como el “grupo salvaje” que atacó el martes a funcionarios y policías en Punata, una localidad del departamento de Cochabamba. “Quiero llamar a la reflexión a aquellos sectores que están vulnerando la seguridad por el COVID-19”, dijo, y alertó que “más allá de poner su vida en riesgo, hay gente que está maltratando policías”. “Ayer  ; quiero decirles que he ordenado se busque a los cabecillas de aquello y se les aplique el máximo castigo de la ley”, anunció. Al menos 400 comerciantes que participan en la feria de esa localidad arremetieron contra policías y funcionarios ediles que controlaban el cumplimiento de la cuarentena rígida, declarada en la región ante el incremento de casos de COVID-19. “Unas 400 personas se reunieron en desacato a esa ordenanza municipal y comenzaron a lanzar piedras y objetos contundentes contra el personal policial.  ”, informó el coronel Franz Sellis, comandante departamental de la Policía. En criterio de Murillo, «si hay personas a las que no les importa su vida, allá ellos, pero no pueden arriesgar la vida de los funcionarios». El incidente comenzó cerca de las 07.00 del martes —informó  — cuando la fuerza pública y los guardias ediles trataban de impedir que los vendedores de asienten en vías públicas de la zona norte, donde se instala todos los martes la feria, que congrega a productores del valle alto. En medio de la trifulca, los movilizados lanzaron en contra del edificio edil piedras, verduras y otros objetos; tras el asedio lograron ingresar y causaron destrozos en instalaciones de la Intendencia y el Salón Rojo de la Alcaldía. La Delegación de la Defensoría del Pueblo de Cochabamba condenó la agresión aunque deslizó una falta de información sobre las medidas asumidas para afrontar la pandemia. Murillo, sin embargo, denunció que “lamentablemente dirigentes políticos están enviando a maltratar a la Policía y los médicos”, aunque no identificó a quiénes se refería. (01/07/2020) ",01-07-2020,sociedad
La Razon,Más de 100 militares de Colombia implicados en casos de abuso sexual a menores,"El alto mando del ejército de Colombia reconoció este miércoles que 118 militares están siendo investigados por presunto abuso sexual contra menores, en medio del escándalo por las violaciones de dos adolescentes indígenas a manos de soldados. «Dolorosamente quiero comunicarle a todos los colombianos (…) que al momento hemos realizado una verificación detallada desde el año 2016, identificando 118 integrantes en la fuerza relacionados en casos de presuntos actos sexuales abusivos y violentos contra menores de edad», dijo el comandante del ejército, Eduardo Zapateiro, en una rueda de prensa virtual.   Según el general, tanto la fiscalía como el ejército investigan todos los casos para determinar las acciones penales, disciplinarias y administrativas a la que haya lugar. «De los 118 vinculados, 45 de ellos han sido retirados del ejército» y 73 enfrentan procesos dentro de la institución militar, enfatizó. El alto mando destapó el expediente presionado por los escándalos que involucran a las tropas en violaciones de indígenas y que causaron un rechazo en cadena en Colombia.   El 25 de junio autoridades indígenas denunciaron que una chica de 13 años fue violada y secuestrada por soldados que patrullaban en el territorio de la comunidad Embera Chamí, en el oeste colombiano. Siete militares aceptaron cargos por la violación de la menor y están recluidos en una cárcel de alta y mediana seguridad para miembros de la fuerza pública.   Zapateiro aseguró que también retiró a los tres suboficiales que se desempeñaban como comandantes del pelotón en la zona.   Cuatro días más tarde, estalló una nueva denuncia de violación contra una joven de 15 años, de la etnia Nukak Makú, por un grupo de militares en septiembre de 2019.   El general Zapateiro repudió estos abusos y enfatizó en que se trata de «conductas individuales» y no «sistemáticas» de los 240.000 miembros del ejército.  El gobierno rechazó también los ataques que se dieron a conocer precisamente una semana después de que el Congreso aprobara una reforma constitucional que incorpora la prisión perpetua a violadores y asesinos de niños y adolescentes de menos de 14 años.   Sin embargo, a los uniformados no les aplicará esta norma porque no ha sido promulgada y por efectos de retroactividad, según juristas. Según datos de la autoridad forense en Colombia, en 2019 más de 22.000 menores de 18 años fueron víctimas de delitos sexuales y 708 de homicidio. ",01-07-2020,mundial
La Razon,Las fiestas julias serán con pocas personas y con una verbera virtual,"Las fiestas julias de este año serán distintas para evitar contagios del nuevo coronavirus. La Alcaldía de La Paz organiza al menos 122 actividades durante este mes, entre ellas la tradicional verbera que, en esta ocasión, será virtual. Este mes es muy importante para los habitantes de esta ciudad, dijo el alcalde Luis Revilla, quien consideró que la emergencia sanitaria obliga a continuar con las medidas restrictivas.   Así, anunció que la “gran mayoría” de actividades previstas será transmitida a través de las redes sociales y por medios de comunicación. Los actos protocolares del 15 y 16 de julio se realizarán con “muy poca gente”, informó Revilla. El encendido de la tea de la Libertad y la lectura de la Proclama de la Junta Tuitiva, en la casa de Pedro Domingo Murillo, no tendrán más de 10 personas. En las ofrendas florales del 16 de Julio solo participarán al menos seis instituciones; no habrá desfiles cívicos ni tampoco ninguna concentración de personas. “La tradicional verbena paceña va a ser virtual. Vamos a tener algunos artistas y músicos en distintos escenarios, a través de distintos medios de comunicación y de las redes sociales, pero, por supuesto, no con público ni con la presencia de ciudadanos de nuestro municipio”, informó. En años anteriores solían organizarse espectáculos musicales en la Plaza Mayor, de San Francisco, con la presencia de agrupaciones que amenizaban la noche del 15 de julio a la espera de la fecha de la gesta emancipadora del 16 de Julio de 1809. Entre las 122 actividades previstas se incluyen el arte, cultura, conclusión de obras, los actos protocolares y algunos productos y servicios que presentará la comuna. (01/07/2020) ",01-07-2020,sociedad
La Razon,Arce denuncia que el Gobierno paró la compra del software para la Gestora Pública,"En respuesta a una denuncia en su contra, el exministro de Economía y ahora candidato presidencial del MAS, Luis Arce, develó que el gobierno de Jeanine Áñez paró la provisión de un software para la Gestora Pública a pesar de un nuevo contrato y una demanda penal ejecutados en su gestión. Así respondió el postulante del Movimiento Al Socialismo (MAS) a las denuncias del gerente de la entidad, Sergio Flores, quien informó ayer que su oficina presentó una demanda contra Arce en la Fiscalía de La Paz por supuesto daño al Estado en la compra no consumada del mecanismo de computación. “El software nunca ha sido entregado, nunca vamos a tener un software. Todo este trabajo, lamentablemente, ha sido una pérdida de tiempo y la Gestora Pública nunca iba a funcionar como una Gestora Pública estatal”, denunció el funcionario. En conferencia de prensa la mañana de este martes, en la que denunció la presunta estrategia gubernamental de inhabilitarlo como candidato, Arce admitió que la empresa que su despacho contrató entonces falló en la provisión de ese servicio, aunque develó que estaba encaminada esa compra a través de otra proveedora. No conozco el tenor de la denuncia, pero lo que sí puedo decirles es que contratamos un sistema y la empresa nos falló, a la que iniciamos un proceso judicial; no podíamos dejar así, como está ocurriendo en este momento”, dijo el exministro en la rueda de prensa a la que asistieron su acompañante de fórmula, David Choquehuanca, y otros dirigentes partidarios. “Yo quisiera que ustedes, como buenos periodistas, trasladen la pregunta de por qué no se ha hecho nada y por qué se ha interrumpido el contrato que hice con otra empresa que ya estaba haciendo el software que necesita la Gestora. Se ha parado eso, como las obras en inversión pública”, desafió. Arce consideró que el Gobierno no está haciendo nada por el avance de la Gestora. “Detrás de esto están los intereses de las AFP, por supuesto, que quieren seguir trabajando en el país, que quieren seguir usufructuando de los recursos de los trabajadores que aportan a las pensiones de Bolivia; que no quieren irse y están haciendo todo para quedarse”. Afirmó que la denuncia en este caso es “otra cortina de humo para tapar otro hecho de corrupción, otro desfalco al Estado”.  “Tratar de echarnos barro con cualquier idea”, dijo. Como el MAS, que se expresó en ese mismo sentido en un comunicado, el candidato presidencial consideró que las denuncias del Gobierno intentan proscribir su candidatura y su partido. Así, adelantó que dicha fuerza política presentará una denuncia internacional para exponer estos extremos. “Tenemos amplia ventaja con el segundo competidor en elecciones. Por eso hay la intención de proscribirnos”, insistió. Antes de la declaratoria de la emergencia sanitaria por la propagación del nuevo coronavirus en el país, Arce y el MAS contaban con la mayor preferencia develada por distintas encuestas. Éstas, como las elecciones, fueron suspendidas por meses, hasta que el domingo 21 Áñez promulgó la ley de nuevos comicios para el 6 de septiembre, sancionada por la Asamblea Legislativa a propuesta del Tribunal Supremo Electoral (TSE). (01/07/2020) ",01-07-2020,nacional
La Razon,"Óscar Urenda continúa en una ‘situación muy delicada’, lamenta Rubén Costas","Ha transcurrido casi un mes y el secretario de Salud de la Gobernación de Santa Cruz, Óscar Urenda, un ícono de la lucha contra el nuevo coronavirus, continúa en una “situación muy delicada” debido a ese mal, lamentó en las horas precedentes el gobernador Rubén Costas. “El ejemplo de nuestro querido y leal amigo, de ese hombre que tiene un apostolado de servicio porque no necesita otra cosa más que servir a los demás, que es el doctor Óscar Urenda, que todavía está en una situación muy delicada”, dijo Costas. Urenda fue internado en la Unidad de Terapia Intensiva (UTI) de una clínica cruceña el viernes 5 de junio luego de que presentara una fuerte afección pulmonar. Al día siguiente fue intubado y conectado a un respirador por prescripción médica. De forma aún inexplicable, había caído por segunda vez ante el virus; la primera le permitió incluso cumplir sus funciones por teletrabajo. Desde ese día, un mar de expresiones de solidaridad ha recibido el principal funcionario de salud que semanas antes ya había resultado contagiado con el virus, aunque con síntomas muy leves que incluso le permitieron trabajar de forma virtual. “Desde aquí siempre le elevamos una plegaria a nuestro creador para él y para todos los que están padeciendo esta situación”, indicó Costas. “Esta pandemia se ha llevado a muchos amigos queridos, a muchos familiares, a mucha gente buena, nos ha puesto de cabeza al planeta”, lamentó el gobernador de Santa Cruz, la región más afectada por la epidemia. (01/07/2020) ",01-07-2020,sociedad
La Razon,La Asamblea sanciona la ley que fija descuento del 50% en los alquileres por la cuarentena,"La Asamblea Legislativa Plurinacional sancionó este martes la Ley de Excepción de Arrendamientos, que fija el descuento del 50% de los alquilares durante la cuarentena por el coronavirus. La norma también estipula beneficios para los propietarios. La norma se aplicará a partir de la declaración de emergencia sanitaria dispuesta por el Gobierno a través del Decreto Supremo 4196, del 17 de marzo de 2020, y regirá hasta tres meses después de culminada la cuarentena en sus diferentes modalidades. El parágrafo primero del artículo 3, en su inciso 1-a, señala que “se reduce en un 50% el canon de alquiler, cuando a la vigencia de la presente Ley no se hubiera conseguido un acuerdo entre inquilino y propietario o arrendador para la reducción y/o diferimiento razonable del canon de alquiler”. En tanto, a favor del propietario o arrendador se aplicará una “condonación del pago del impuesto mensual RC-IVA, hasta el levantamiento de la declaración de cuarentena en sus distintas modalidades, conforme lo dispuesto” por la misma ley, se lee en el inciso 2-a. Aunque desde en la Asamblea Legislativa informaron que la norma se había aprobado por unanimidad, la diputada Rose Marie Sandoval, de Unidad Demócrata (UD), dijo que la norma tuvo disensos y solo fue avalada por los dos tercios del Movimiento Al Socialismo (MAS). En su criterio, la Ley de Excepción de Arrendamientos es extemporánea y tiene varias incongruencias, entre ellas la vulneración de competencias autonómicas municipales al allanar descuentos impositivos. “¿Y la autonomía? Se toca a la alcaldía, pero no se les ha consultado al sistema de municipios”, inquirió, y añadió que el único consenso que hubo fue “entre los azules” del Senado y Diputados. La ley regirá para los contratos pactados de forma verbal y escrita cuando el arriendo mensual no exceda un máximo de Bs 5.000 para bienes inmuebles destinados a vivienda y Bs 7.000 para espacios destinados a tiendas o espacios comerciales o de prestación de servicios. Además alcanza a los contratos de alquiler de hasta Bs 15.000 para bienes destinados a la actividad industrial. La norma también establece que durante el tiempo que dure la cuarentena y hasta tres meses posteriores a la misma, el propietario no podrá desalojar a sus inquilinos por ninguna circunstancia. En caso de incumplir la disposición, el inquilino podrá acudir a las instancias civiles para revertir la decisión del arrendador. Además, se establece que hasta el 31 de diciembre de este año, se congelan los montos de arrendamiento convenidos con anterioridad. El artículo 6 indica que los gobiernos autónomos municipales “podrán, en el marco de sus competencias, reducir el impuesto anual a la propiedad de los bienes inmuebles en favor de las y los propietarios o arrendadores que hubieran reducido el 50% como mínimo el alquiler”. También fija un descuento del 50% en el pago del Impuesto del RC-IVA por alquileres siempre que el propietario acredite con documento privado o acta de conciliación que demuestre que otorgó el beneficio a su inquilino. La ley fue enviada al Palacio de Gobierno para su promulgación. ",30-06-2020,sociedad
La Razon,Educación y futuro,"Hace décadas que la educación en Bolivia no logra superar su atraso endémico. Para colmo de males estamos en medio de una tragedia nacional y debemos tomar decisiones trascendentales y apresuradas sobre nuestra educación. Una de las medidas es la implementación de la educación a distancia y/o virtual que se impuso en casi todo el planeta. Una decisión de enorme responsabilidad en un año que se va volando junto a miles de muertos. De todo ese tema tan complejo deseo relievar una secuela de nuestra educación: la falta de creatividad e iniciativa en todos los estratos sociales. Resultado de una educación repetitiva, unidireccional, memorística, del “mi-mamá-me-mima”, los bolivianos fuimos formados para espantarnos ante la posibilidad de un cambio. Y, ante una innovación inminente, mostramos nuestras peores lacras: falta de creatividad, ninguna autocrítica y baja autoestima. Recordemos la declaración apresurada de un representante del magisterio que calificó como “un fracaso” la educación virtual sin experimentar siquiera un tiempo razonable; o el dislate de algún padre de familia que aún piensa, y en pleno siglo XXI, que la escuela presencial va a dar todo a su nene. He conocido, como docente, personas de diferentes orígenes y clases con creatividad innata. Personajes tenaces que pudieron desarrollar ese talento a pesar de nuestra castrante educación y de vivir en una sociedad monotemática (“todo es política”). Existen, pero, la mayoría, somos víctimas de las lacras mencionadas. Por ello (y otras 100 razones más), debemos financiar y lograr una educación virtual en paralelo a la tradicional, que sea incluyente y universal. Es algo imprescindible en este siglo porque desarrolla las llamadas competencias transversales, destrezas imprescindibles en un mundo donde desaparecerán muchas profesiones: creatividad, iniciativa, flexibilidad, trabajo en equipo, comunicación interpersonal, etc. Las nuevas generaciones deben formarse con esas habilidades para superar nuestra inaguantable baja autoestima y desarrollar iniciativa propia. Debemos dejar de ser pedigüeños en un futuro que será de espanto. Un nene de cinco años aquí, en este país dependiente y atrasado, ya navega y juega en un celular. A sus 10 tendrá todo el saber enciclopédico en un tris. A sus 25 se instalará un chip en su neo-cortex cerebral para reemplazar el “pesado” celular. A sus 45, es decir el año 2050, tendrá relaciones en un mundo real-virtual. Sí, inclusive aquí. Y, en estos meses de crisis múltiple, no somos una sociedad unida que trabaja el presente y planifica su futuro. Seguimos neciamente monotemáticos postergando una sociedad holística para todos. ",01-07-2020,opinion
La Razon,Teresa se llamaba dolor,"Villa-Matas pega en el clavo: “no se escribe —contrariamente a lo que creen tantos— para entretener aunque la literatura sea una de las cosas más entretenidas que hay, ni se escribe para eso que se llama ‘contar historias’ aunque la literatura está llena de relatos geniales”. No. Se escribe, dice el catalán, “para atar al lector, para adueñarse de él, para seducirlo, para subyugarlo, para entrar en el espíritu del otro y quedarse allí, para conmocionarlo y conquistarlo”. Réquiem por Teresa es la mejor novela que he leído en mucho tiempo. Han pasado varias semanas desde que levanté de ella la mirada y sigo conmovido, conquistado, seducido. Tuvieron que pasar meses para que el libro del guatemalteco Dante Liano llegara a mis manos (bien baratito, como debe ser, gracias al Fondo de Cultura Económica, al cambio, 20 bolivianos). Se puede publicar y tener éxito con literatura buena y accesible, señores y señoras. En agosto del año pasado, Paco Ignacio Taibo II me recomendó Réquiem para Teresa en la Feria Internacional del Libro de La Paz. Fuimos al poderoso stand de México y la novela no había llegado. Semanas después, mi hermana viajó desde Frankfurt a Guadalajara y me compró la encarecida recomendación. Tuve que esperar a las últimas navidades para la reunión familiar en Bilbao y aún la lectura se dejó esperar hasta que comenzó el encierro por pandemia en La Paz. Después, gozar y sufrir, con banda sonora de Elvis, ante un retrato que ya pintó el poeta mexicano Juan de Dios Peza: “El carnaval del mundo engaña tanto/ que las vidas son breves mascaradas/ aquí aprendemos a reír con llanto/ y también a llorar con carcajadas”. Réquiem por Teresa narra un suicidio/feminicidio desde la perspectiva del hermano de la víctima. Es el monólogo del perdedor, el que vio cómo un obtuso militar guatemalteco apagó la llama vital de Teresa y le dio, cobarde, el soplido final. Es la confesión desgarradora frente a un remolino de recuerdos verdugos. La narración alterna interlocutores y planos con lenguaje coloquial, a ratos localista, que se empalma con la poesía gracias a la amalgama del humor. Todo ocurre en una tarde de farra que deviene en una noche decadente durante la tocada del más famoso imitador de Elvis en Guatemala. Hay cerveza a chorros, hay rock, y hay un duelo —oscuro y constante— por la muerte de Teresa. Réquiem por Teresa retrata la metamorfosis terrorífica de una chica lista y bonita (auto) destruida, sometida a los golpes por una estructura patriarcal que no perdona, abandonada en la isla de las soledades repleta de gente sorda y ciega. “En Guatemala tu deber de hombre es también ese: defender medievalmente a tus mujeres. Y si no, fallaste, mano, como fallé yo esa mañana angustiosa en la que la Teresa llamó llorando porque el Pirata le había pegado por primera vez”. En primera persona, el hermano escarba en la amargura por no haber hecho nada para evitar la muerte, una “culpa que se retuerce como sabandija en la culebra”. ¿Por qué los hombres necesitamos ingentes cantidades de trago para hablar de nuestros sentimientos? ¿Por qué la masculinidad más tóxica nos envenena con soberbia y violencia? Es el sino de un continente derrotado por el machismo asesino que genera dolores colectivos. Ese imitador grotesco, panzón, entrañable y decrépito parodia a un símbolo ajeno, consciente de su degradación. Es la misma degradación de Teresa, de Guatemala, de Bolivia y de América Latina. “Sangre, sudor y mierda, las lágrimas en este continente son un lujo”. Ante el feminicidio y el dolor, es fácil caer en lo cursi, en la pornomiseria o en lo obsceno de la culpa. Liano se mete en el lodazal y sale a flote con una “novelita” de 135 páginas, ambientada en los años 80 de las dictaduras militares centroamericanas, tan pasmosamente parecidas a nuestros días en lo cobarde, en lo corrupto. “Vámonos de esta mierda, vámonos por favor a algún lugar donde la mente se ponga en blanco, en donde todo sea como fue alguna vez, sin felicidad, sin ausencia”, dice el narrador que llora a Teresa. Un narrador que, a estas alturas se ha adueñado de este lector, ha entrado a su espíritu y allí sigue. Voy a agradecer a mi hermana, precisamente a ella, este gran regalo. ",01-07-2020,opinion
