periodico,titulo,cuerpo,fecha,categoria
Pagina 7,OMS prevé que Bolivia alcanzará su pico de contagios en agosto,"La Organización Panamericana de la Salud (OPS) advirtió que el pico de la pandemia por el coronavirus en Bolivia se producirá en agosto. La organización también estimó que Latinoamérica y el Caribe registrarán más de 400.000 muertes para el 1 de octubre ""si persisten las condiciones actuales"". El pico de contagios en Latinoamérica se producirá en diferentes momentos, según la OMS. En Bolivia, Argentina, Brasil y Perú el pico se alcanzará en algún momento en agosto mientras en Chile y Colombia alcanzarán su punto máximo en los próximos 15 días En Centroamérica y México, será a mediados de agosto, aunque en Costa Rica se espera para octubre. El continente americano es la región del mundo que concentra actualmente la mayor cantidad de contagios y muertes del nuevo coronavirus, declarado pandemia por la OMS a mediados de marzo, pero Carissa Etienne, directora de la OPS, oficina regional de la Organización Mundial de la Salud (OMS), destacó que los números totales ""solo cuentan parte de la historia"". ""Es importante enfatizar que estas proyecciones se cumplirán solo si persisten las condiciones actuales. Los países pueden cambiar estas predicciones si toman las decisiones correctas e implementan estrictas medidas probadas de salud pública"", puntualizó. ""Se espera que América Latina y el Caribe tengan más de 438.000 muertes de Covid-19"" en los próximos tres meses, también dijo Etienne en rueda de prensa.
 Según el modelo del Instituto para la Métrica y Evaluación de la Salud de la Universidad de Washington (IHME por sus siglas en inglés), el centro estadounidense que asesora a la OPS, en el total del continente americano las muertes casi se triplicarán para el 1 de octubre, superando los 627.000 decesos.
 Esta proyección incluye a Estados Unidos, el país más afectado del mundo, y en el que el IHME prevé más de 175.000 muertos en los próximos tres meses.
 Etienne dijo que los gobiernos deben responder a la pandemia basados en datos de vigilancia epidemiológica ""cada vez más detallados"", y pidió ""flexibilidad"" para minimizar el impacto del virus, sobre todo en comunidades muy dependientes de la economía informal.
 También alertó sobre ""otros retos"" para la región, como la llegada de la gripe estacional en el Cono Sur sudamericano, que puede complicar a los servicios de salud.
 ",1-7-2020,sociedad
Pagina 7,MAS plantea una ley de distribución equitativa de la publicidad estatal,"El senador del Movimiento Al Socialismo (MAS), Efraín Chambi, anunció que su bancada trabajará una ley para una distribución equitativa de la publicidad estatal y argumentó que se quiere evitar que en el futuro los medios sean objeto de chantaje por parte de los gobiernos. El legislador considera que los medios de comunicación tienen que informar de manera objetiva e imparcial. La bancada trabajará una ley en cumplimiento a la distribución equitativa de la pauta publicitaria estatal en los medios de comunicación. Lamentamos lo que pasó con PAT, pero sirvió para que los medios no sean sujetos de chantaje por parte de ningún Gobierno de turno, indicó Chambi en una conferencia de prensa. Agregó que a partir de las recomendaciones de la Comisión Interamericana de Derechos Humanos (CIDH) se espera que ningún Gobierno pueda manipular a los medios de comunicación. En mayo de este año, una investigación del Ministerio de Comunicación develó que el diario La Razón de La Paz y periódicos de reciente creación en el país se llevaron gran parte de la publicidad estatal durante los tres últimos años del gobierno de Evo Morales. También evidenció que la red ATB, de los mismos dueños de La razón, recibió en ese tiempo más de Bs 100 millones por publicidad, más que todos los canales de televisión y sólo por debajo del canal estatal. Los datos mostraron que este matutino captó Bs 12 millones por este concepto y un diario de Tarija, El Periódico, percibió Bs 4,5 millones, más que otros impresos antiguos y de circulación nacional.
 En 2016 la Asociación Nacional de la Prensa de Bolivia (ANP) denunció que el Gobierno dispuso la suspensión de la publicidad estatal a los diarios con independencia editorial, y con ello consumó un atropello a la libertad de expresión y puso en riesgo la fuente laboral de cientos de periodistas, personal administrativo y de talleres de imprenta.
 ",1-7-2020,nacional
Pagina 7,Advierten que centros de abasto son los lugares de mayor exposición y contagio de coronavirus,"El Ministerio de Salud informó el miércoles que mediante una investigación identificaron que supermercados, mercados municipales y ambulantes son los sitios de mayor exposición de contagio del coronavirus (Covid-19). ""Mediante el estudio de investigación 'Identificación de Causas para el Incremento de Casos de COVID-19', en donde una de las variables de estudio contempló los lugares de contagio, se identificó que los mercados municipales, mercados ambulantes y supermercados son los sitios de mayor exposición y contagio del COVID-19"", reseña una nota institucional. Ante esos resultados, el Ministerio de Salud instruyó 13 medidas, entre generales e individuales, para el expendio de alimentos en esos lugares, a los cuales la gente acude a proveerse de alimentos. Entre las medidas está la ventilación de los ambientes de venta de alimentos; distanciamiento entre la mercadería y la población con marcado visible (señalética); brindar alcohol en gel o el lavado de manos de quienes ingresen; limpiar el área de comercio de modo exhaustivo al finalizar la jornada. Advierte que se debe lavar y desinfectar con hipoclorito de sodio toda la mercadería, además de prohibir que el consumidor manipule los alimentos. El Ministerio de Salud instruyó, también, que los vendedores usen barbijo; mantengan el distanciamiento físico y utilicen un uniforme establecido por las instituciones para la manipulación de los productos. El instructivo advierte que el uniforme de los vendedores debe ser correctamente lavado, remojado con agua caliente a 60 grados o en hipoclorito de sodio por 15 minutos de forma diaria.
 ",1-7-2020,sociedad
Pagina 7,Fiestas Julias serán con verbena virtual y festejos semipresenciales,"Inicia julio y La Paz se encuentra en vísperas de su 211 aniversario del Grito Libertario. Este año, como es de esperar, las fiestas serán celebradas de una forma diferente con relación a los anteriores festejos debido a la pandemia por el coronavirus (Covid-19). El alcalde Luis Revilla anticipó que la mayor parte de los festejos serán efectuados de forma virtual y los actos protocolares de forma semipresencial. La mayoría de las actividades van a ser en línea; habrán algunas actividades semipresenciales y los actos protocolares del 15 y 16 de julio se desarrollarán con muy poca gente, dijo Revilla. Actividades como la lectura de la proclama de la Junta Tuitiva, que normalmente se lleva a cabo en la casa de Pedro Domingo Murillo en la Calle Jaen, contará con no más de diez personas y la ofrenda floral del 16 de julio no abarcará a más de seis empresas. La lectura de la proclama de la Junta Tuitiva en la casa de Pedro Domingo Murillo no estarán presentes más de 10 personas. La ofrenda floral no abarcará a más de seis instituciones. No hay desfile cívico ni ninguna concentración de personas, anticipó el burgomaestre. Con respecto a la verbena, Revilla anunció que la misma será de forma virtual. Sobre esa línea, grupos musicales amenizarán la víspera de la efeméride paceña mediante las redes sociales. El evento podrá ser transmitido también por otros medios. Mas no habrán aglomeraciones de personas para evitar todo tipo de riesgos con respecto a los contagios de Covid-19.
 La tradicional verbena paceña va a ser virtual. Vamos a tener algunos artistas y músicos en distintos escenarios, va a ser transmitido en distintos medios de comunicación y redes sociales, pero no con público ni con presencia de los ciudadanos de nuestro municipio, agregó.
 ",1-7-2020,sociedad
Pagina 7,"«No soy médico», responde esposa de López Obrador a papás de niños con cáncer","La escritora Beatriz Gutiérrez Müller, esposa del presidente mexicano, Andrés Manuel López Obrador, se vio envuelta en la polémica tras responder que no es ""médico"" a la petición que hizo un usuario de Twitter para que se reuniera con papás de pacientes oncológicos que carecen de medicamentos desde hace meses. 
 
En el segundo aniversario del triunfo electoral de su marido, la artista, que rechaza el título de primera dama, publicó un festejo de esa victoria que tuvo cientos de comentarios, entre ellos uno que le pedía reunirse con los padres de niños con cáncer para resolver el desabasto de fármacos. 
 
""No soy médico, a lo mejor usted sí. Ande, ayúdelos"", respondió la también presidenta del Consejo Honorario de la Coordinación Nacional de Memoria Histórica y Cultural de México, en su cuenta de Twitter. 
 
De manera casi inmediata, decenas de usuarios expresaron su molestia por la respuesta de Gutiérrez Müller, a quien calificaron de grosera, insensible y poco empática e incluso se posicionó como tendencia #Beatriz y #NoPrimeraDama. 
 
En tanto, los padres de niños con cáncer, quienes desde hace meses exigen abasto de medicamentos oncológicos, exigieron a través de un comunicado una disculpa pública de la escritora. 
 
""Nos ofende profundamente la respuesta frívola y deshumanizada de la Señora Beatriz Gutiérrez"", expresaron los familiares. 
 
Aunque aseguraron entender que la también académica no ostenta cargo público alguno y ""que no es médico y mucho menos especialista oncológico"", indicaron que esta respuesta ""no es propia"" de ella y que debería ser más empática y humana en su respuesta. 
 
""Por ello le exigimos que rectifique sus palabras y nos brinde una disculpa pública"", puntualizaron. 
 
Esta no es la primera vez que Gutiérrez Müller se encuentra en medio de la polémica. 
 
Hace dos semanas solicitó una disculpa pública por medio de esta red social porque el Consejo Nacional para Prevenir la Discriminación (Conapred) invitó al comediante mexicano Chumel Torres a dar una conferencia sobre racismo. 
 
 
 
La también periodista condenó a Torres como clasista y lo acusó de atacar a su hijo menor de edad. 
 
 
 
Debido a esta denuncia se canceló el foro y el presidente López Obrador cuestionó la existencia del Conapred, lo que obligó a la titular del organismo, Mónica Maccise, a presentar su renuncia y llevó a Chumel Torres a perder su trabajo en HBO. EFE ",1-7-2020,mundial
Pagina 7,Arce Catacora denuncia intento de «proscribir» su candidatura,"El exministro de la presidencia y candidato a la presidencia del Movimiento al Socialismo (MAS), Luis Arce, rechazó la denuncia interpuesta en su contra por daño económico al Estado en contratos para la compra de un software para la Gestora Pública y advirtió que este es un nuevo intento de proscribir su candidatura y al partido que representa para las elecciones del 6 de septiembre. Cómo es de conocimiento público el día de ayer (30 de junio) el Gobierno de facto realizó otra denuncia penal contra mi persona. Nosotros queremos denunciar ante la opinión pública la intencionalidad que tiene el gobierno de proscribir al Movimiento al Socialismo para que no participe en estas elecciones, de proscribir al candidato del MAS-IPSP. Han intentado amedrentarme, perseguirme desde mi llegada al país, expresó. El candidato también denunció que la acusación en su contra es una cortina de humo del Gobierno transitorio para tapar un nuevo escándalo sobre un daño económico al Estado de 9,9 milllones de bolivianos en la Gestora Pública por la venta de unos bonos. Lo que nosotros hemos venido observando es una denuncia de un daño económico que hubo en la Gestora de 9,9 millones de bolivianos, donde al amparo de la compra-venta y la intencionalidad de hacer más líquido el fondo para pagar la Renta Dignidad, este Gobierno a través de la Gestora Pública ha hecho un daño vendiendo unos bonos de 9,9 millones de bolivianos. (La denuncia en mi contra) es otra cortina de humo para tapar otro hecho de corrupción, otro desfalco al Estado, apuntó. El candidato reiteró que el MAS denunciará el intentó de proscripción ante instancias democráticas internacionales y dijo que las acusaciones del Gobierno en su contra se enmarcan en la campaña electoral que emprendió Juntos, la alianza que postula a la presidenta Jeanine Añez, porque el MAS lidera las encuestas de intención de votos. El Gobierno dio a conocer que hubo al menos dos contratos irregulares para la compra de un software de la Gestora involucran a Arce. El primero con la empresa panameña SYSDE por un monto de 5.15 millones de dólares en 2017, el cual fue incumplido pese al desembolso de más de tres millones de dólares por concepto de licencia y otros productos menores. El segundo contrato por el cual se acusa a Arce por daño económico en la Gestora se firmó el 23 de octubre con la empresa colombiana Heinsohn por 10.9 millones de dólares, el cual fue observado por el Gobierno porque se establece que la Gestora sólo tiene derecho de uso del producto y que adicionalmente se debe pagar 1.6 millones de dólares por el mantenimiento del sistema y el código fuente.
 El contrato con Heinsohn no era para la compra de un software, era un derecho de uso, era un alquiler con un pago anual extra. Aparte del pago por la adquisición de 10.4 millones de dólares de una supuesta compra del Estado se tenía que pagar 1.6 millones de dólares por el concepto de licencia y código fuente, eso nos han tratado de engañar, denunció el martes el representante legal de la Gestora Pública, Sergio Flores.
 Arce señaló que aún no conoce el tenor de la denuncia presentada ante a Fiscalía en su contra, pero aseguró que en el primer caso se iniciaron procesos judiciales contra la empresa por el incumplimiento. Indicó que luego se contrató a otra empresa para la adquisición de un software pero que este avance fue interrumpido por el Gobierno.
 No se está haciendo absolutamente nada por el avance de la Gestora, porque detrás de esto están los intereses de la AFPs que quieren seguir trabajando en el país, qué quieren seguir usufructuando los recursos los trabajadores que aportan (). Por qué se interrumpió el contrato que hice con otra empresa que estaba haciendo el sortware que necesita la gestora. Eso se paralizó como las obras en la inversión pública, como todo lo que hacíamos en favor del pueblo, expresó.
 ",1-7-2020,nacional
Pagina 7,Arias dice que predios de Anapol serán utilizados como centro Covid,"El ministro de Obras Públicas, Iván Arias, anunció que los predios de la Academia Nacional de Policías (Anapol) ubicados en la zona de Següencoma serán utilizados como centro de aislamiento para pacientes con coronavirus (Covid-19). La medida fue dispuesta en la reunión del Comité de Operaciones de Emergencia Departamental (COED) de La Paz ante la eventual saturación de la capacidad del Hotel Real Plaza en los próximos días. La autoridad señaló que va por la mitad, pero que podría ser rebasado en los próximos diez días con base en el avance de la enfermedad. La Anapol está desocupada desde hace tiempo, y no tenemos que pensar sólo en las ciudades de La Paz y El Alto, sino en las poblaciones intermedias, que deben tener centros de aislamiento (). Hay centros como la Anapol, el dr Cabezas va a ir a ver si los centros están adecuados o no,  para que presente un informe que dirá cuáles son los centros de aislamiento de La Paz, El Alto y poblaciones intermedias, dijo Arias a Radio Fides. Descartó además el uso del Campo Ferial Chuquiago Marka para pacientes con Covid-19 debido a que es demasiado abierto y que, por lo tanto, sería como tener un centro de refrigeración. El problema del Chuquiago Marka  es que es demasiado abierto, así que vamos a tener que invertir en calefacción. Entonces más que tener un centro de aislamiento vamos a tener un centro de refrigeración, agregó. 
 Arias informó además que en la reunión sostenida con el COED se determinó la conformación del Comité Científico Departamental, y que la instancia evaluará el posible uso del dióxido de cloro como medicamento para tratar el coronavirus.
 En la realidad departamental utilizamos la medicina tradicional y no deberíamos descartar el uso de cualquier tratamiento siempre y cuando esté guiado y supervisado (). Cuando se vea que está haciendo daño cierto tratamiento lo retiramos, dijo Arias al mismo medio.
 ",1-7-2020,sociedad
Pagina 7,Gobierno inicia la reactivación de la minería con Bs 44 millones,"El Gobierno anunció que comienza la reactivación económica de la minería con un fondo de 44 millones de bolivianos, los cuales serán entregados a los cooperativistas, según anunciaron los ministros de Minería, Jorge Oropeza, y Economía Plural Óscar Ortiz. 
En una conferencia de prensa en la Casa del Pueblo anunciaron que en las siguientes horas se reunirán con otros sectores de este rubro, como los mineros medianos y pequeños, que también se beneficiarán en este proceso. 
Estos 44 millones de bolivianos que se canalizarán a través de un fondo para iniciar la reactivación de la actividad, porque consideramos que la minería será uno de los puntales de la recuperación económica, generación de empleos y la búsqueda de regalías para los departamentos mineros, aseveró Ortiz. 
Mientras tanto, Oropeza aseveró que se va a reivindicar las aspiraciones del sector minero y que este es un primer paso con las cooperativas, estaremos con los mineros medianos y chicos, ya estuvimos con la estatal. 
Añadió que no se descuidó ningún aspecto porque saben de la responsabilidad que significa reactivar el aparato productivo de este sector. 
 Estamos agradecidos porque entendemos que vamos a empezar a crear fuentes laborales, regalías mineras, movimiento minero. Sabemos que la minería es una estrategia del estado y no tenemos que descuidar la parte económica, dijo Carlos Porco, representante minero Potosí. 
Adelantó que existe un compromiso por parte del estado para la inyección de otros fondos y que desembocarán en la creación de nuevas fuentes de trabajo en este sector de la economía nacional.
 ",1-7-2020,economia
Pagina 7,Habilitan más de 300 camas en campos feriales de 2 regiones,"En Cochabamba trabajan para habilitar un centro de aislamiento para 220 personas con coronavirus en los predios de la Feicobol. Mientras que Santa Cruz alistan 100 camas en el campo ferial de la  Fexpocruz, además instalan otras 30 camas de terapia intensiva en el  Hospital Japonés. La instalación de este espacio está en los departamentos que reúnen el 67% de los casos confirmados del país  El Gobierno central entregó las camas, los empresarios de la Feicobol se encargarán de la adecuación de los ambientes como baterías de baños para tener condiciones en la atención de los pacientes. La Gobernación aseguró la alimentación y lo que falta es el personal de limpieza, y en salud que (es responsabilidad) del gobierno municipal, dijo el director del Servicio Departamental de Salud (Sedes) de Cochabamba Yercín Mamani.  El especialista espera que el centro de aislamiento abra sus puertas desde la siguiente semana, pero atraviesan con un problema. En este momento no se tiene un acuerdo con la Alcaldía que aduce que para invertir en el lugar necesita tener el derecho propietario y que Feicobol le devuelva los predios, indicó.  El director del Sedes desconoce si es posible llegar a una solución, pero exigió a la Alcaldía la colaboración para la implementación del centro. Con el rastrillaje tenemos muchas personas con sintomatología y necesitarán un centro de aislamiento.  Si no lo tenemos, los tendremos en casa y será lo mismo que nada, dijo Mamani en una entrevista con Página Siete.  La máxima autoridad  del departamento de Cochabamba explicó que en caso de que no se llegue a un acuerdo con la Alcaldía, el Sedes pedirá el compromiso del Gobierno  para la implementación y funcionamiento de este espacio. Necesitamos con urgencia estos ambientes, afirmó.  Hasta la fecha, Cochabamba es el  tercer departamento con más casos de Covid-19 y registró  3.640  positivos hasta anoche.  Mediante su cuenta de Twitter, la  presidenta Jeanine Añez informó  sobre la entrega de las primeras camas al campo ferial cochabambino. Realizamos la entrega de 110 camas que serán implementadas en las instalaciones del campo ferial de Alalay en Cochabamba. Esta entrega es parte de las 220 que tendrá en su totalidad en los próximos días, expresó.
 Un día antes, el martes, representantes del Gobierno, la Gobernación y la Alcaldía  realizaron una inspección  en el recinto y decidieron coordinar más acciones para luchar contra la pandemia. De acuerdo con el  diario  Los Tiempos, el ministro de Gobierno  Arturo Murillo  confirmó la llegada de 220 camas por solidaridad de la alcaldesa de Santa Cruz Angélica Sosa.  
 Agradecemos este apoyo de la alcaldesa de Santa Cruz  Angélica Sosa  por la proporción de 220 camas, de las cuales 160 son de tres movimientos y que incluso sirven para centros de salud más sofisticados. Ha llegado el primer grupo de 110 y la segunda parte arribará mañana (martes). Es momento de trabajar juntos para luchar contra la Covid-19 y salvar vidas, indicó ayer  Murillo, según el diario Opinión. 
 
 El pasado  lunes, el Gobierno   entregó 30 camas de terapia intensiva para uno de los dos domos que se construyeron en el Hospital Japonés de Santa Cruz y 420 contratos médicos para reforzar el sistema de salud cruceño. Entre los equipos dotados están monitores multiparámetros, camas con colchones antiescaras, bombas de infusión, gasómetro, destructores de agua, videolaringoscopio, portasuero y gradillas.
 El gobernador cruceño  Rubén Costas  anunció que el armado del segundo domo debería coincidir con la llegada de nuevos equipos. Con su capacidad se alcanzarán las 74 camas de terapia intensiva, más las 22 del Hospital San Juan de Dios, se  alcanzarán casi 100 nuevas unidades de terapia intensiva, dijo la autoridad días antes.
  
 Costas explicó que terapia intensiva, con la instalación de respiradores, debe ser la última opción. Debemos tratar de tener en los albergues a las personas asintomáticas y, en los centros de salud de primer y segundo nivel a los pacientes con algunas complicaciones, sostuvo.
 La Cámara de Industria, Comercio y Servicios de Santa Cruz (Cainco) -en coordinación con los empresarios y otras instituciones del sector- alista  un centro de recuperación para un centenar de pacientes en el pabellón USA de la Fexpocruz. Se tiene previsto habilitar este espacio en los próximos siete días.
 La implementación del espacio, con todos los elementos necesarios, será asumida por el sector empresarial. El presidente de la Cainco Fernando Hurtado explicó que el centro de recuperación en el Campo Ferial cruceño será exclusivamente para pacientes asintomáticos o leves que no están en grupos de riesgo.
 Esta iniciativa busca aliviar el saturado sistema sanitario en Santa Cruz. Esta región reúne al 57% de las personas contagiadas con Covid-19 del país. Hasta el lunes sumaban los 18.211 casos confirmados.
 El  23 de marzo, Costas anunció que en los ambientes de la Fexpocruz, ubicada en la avenida Roca y Coronado, a ocho minutos del centro de la ciudad, se instalará un campamento sanitario.
 Este  predio ferial tiene una extensión de 164.857 m2. Cuenta con 21 pabellones de diferentes tamaños y áreas externas, además de contar  con espacios especiales. Tiene un centro de eventos múltiple, para una variedad de acontecimientos.
   
 
 ",1-7-2020,sociedad
Pagina 7,Tres escenarios marcan el ritmo de la pandemia hasta el día de las elecciones,"El 31 de diciembre de 2019 todos nos enteramos que en China había surgido una nueva enfermedad provocada por un coronavirus, aunque nuevas informaciones cada vez retrasan más el inicio de los contagios. Poco después, el 13 de enero,  se produce el primer caso de coronavirus detectado fuera de China, el de un ciudadano chino que había viajado a Tailandia, procedente de Wuhan, y el 2 de febrero, en Filipinas, sucede la primera muerte por coronavirus fuera de China. El resto es la historia del virus más informado verdadera infodemia de verdades y bulos y expandido desde que la Peste Antonina pusiera a temblar al mundo antiguo entre 165 y 180 de la era cristiana. En este siglo XXI el Covid-19 es la cuarta pandemia de origen zoonótico (virus transmitidos entre animales y humanos), todos iniciados como un severo  brote regional  y expandidos rápidamente  al resto del mundo. Los tres provocados por coronavirus fueron:  Entre 2002 y 2004, el Síndrome Respiratorio Agudo Severo (SARS), una enfermedad respiratoria aguda originada en China y causada por el coronavirus SARS (SARS-CoV), mucho más grave que otras infecciones por coronavirus, con baja morbilidad (contagio x cien mil habitantes), pero con una tasa de mortalidad (porcentaje de fallecidos respecto a contagiados) alta de alrededor del 10%, en los 30 países que se diseminó. El segundo, el síndrome respiratorio de Oriente Medio (MERS), también una enfermedad respiratoria aguda grave causada por otro coronavirus, el MERS (MERS-CoV),  informada por primera vez en 2012 en Arabia Saudita y Jordania, con muy baja morbilidad y relativamente alta mortalidad, expandido hasta 2019 a 27 países en todo el mundo. Y ahora el Covid-19, una enfermedad respiratoria aguda, a veces muy grave, causada por el nuevo coronavirus SARS-CoV2, con muy alta morbilidad pero, usualmente, baja tasa de mortalidad (alrededor del 5% promedio en 188 países). El cuarto (antes del MERS: 2009-2010) fue la gripe A (H1N1: Virus H1N1/09 Pandémico), variante del  Influenzavirus A, conocida como  gripe porcina y originada en los Estados Unidos, con alta morbilidad y muy baja mortalidad.  Todas se diseminan de persona a persona, a través del contacto con secreciones infectadas, principalmente por contacto directo, con gotitas respiratorias o a través del contacto con una superficie contaminada por éstas. En nuestra región. Bolivia fue de los últimos países latinoamericanos en tener los primeros casos de coronavirus. ¿Con qué contábamos? Un sistema de salud muy deficiente, productos de décadas de falta de inversión adecuada en infraestructura, equipos técnicos y personal de salud, escandaloso en el último período 2006-2019, cuando hubo los mayores ingresos y se denegó potenciar la salud. Vale la frase del entonces presidente Evo Morales que prefería construir canchitas de fútbol a hospitales.
 Ante el ingreso de la epidemia -no fue oficialmente pandemia hasta el 11 de marzo, cuando la Organización Mundial de la Salud (OMS) la declaró así-, como todos los países progresivamente afectados, Bolivia tuvo que reordenar sus prioridades hacia el control de la propagación de la enfermedad, ya sea por contagios exógenos -provenientes de los dos focos principales de coronavirus entonces: China y Europa- o endógenos, mediante los contactos locales. 
 Tras el cierre de todas las fronteras y la suspensión de vuelos política generalizada mundial  empezó una serie de determinaciones, tanto a nivel del sistema de salud pública, el comportamiento social (cuarentena rígida) y las medidas económicas (bonos, reducción de tarifas, postergación de créditos, entre otros), que fueron con las particularidades, posibilidades y creatividad gubernamental que Bolivia tuvo similares a nivel internacional, pero agravadas por dos aspectos fundamentales e intrínsecos: el mandato transicional del Gobierno nacional y la obligación de realizar elecciones para sustituir las fraudulentas de octubre de 2019. 
 Súmeles el déficit fiscal y la deuda externa heredados del cuatroceno anterior, la cada vez más férrea oposición de los seguidores del anterior régimen desde la Asamblea Legislativa Plurinacional, con mayoría absoluta, y desde los focos de poder en algunas regiones, sobre todo el Chapare y de parte del altiplano y la permanente crítica de sectores de la denominada oposición democrática contaminadas por el tema electoral.
 
 No voy a entrar en qué hizo o no hizo factualmente el gobierno de Janine Añez Chávez no es mi objetivo de análisis, sino voy a exponer el desarrollo y estado de la pandemia cada vez más convertida en endemia para nosotros y el resto del mundo.
 Desde el inicio de la pandemia hasta la mañana del martes 30 de junio, a nivel mundial se habían detectado casi 10,5 millones de casos, de los cuales habían fallecido casi 510 mil y recuperado 5,2 millones (51,3% del total de afectados). En la nomenclatura de la OMS, la cantidad de casos se mide por contagios por cada 100 mil habitantes y se le denomina morbilidad de la enfermedad; mientras que los fallecidos de esa enfermedad es la tasa de fallecidos (o de letalidad), que es el porcentaje respecto a la cantidad de cantidad de casos, pero otra forma de medir los fallecimientos es la mortalidad por 100 mil habitantes; a su vez, la tasa de recuperación es la cantidad de recuperados respecto de los contagiados. En ese caso, la morbilidad a nivel mundial actualmente alcanza 135,3, la tasa de mortalidad 5,0, la tasa de fallecidos fue de 0,0066% (por cien mil habitantes) y la tasa de recuperación es de 50,2%. 
 Para Bolivia, la morbilidad el lunes pasado era de 276,1 (32.125 casos) entre el máximo regional en Chile de 1.423,5 y los mínimos en Cuba de 20,6 y de 6,3 en Belice; la tasa de mortalidad fue de 3,3 (1.071 fallecidos) -intermedia entre el máximo regional de 12,3 en México y el 0,5 de Costa Rica-, la mortalidad por 100 mil habitantes es de 0,009% entre el 0,029 de Chile y Perú y el 0,0002 de Paraguay.
  La tasa de recuperación era el lunes del 27,8% (8.928 recuperados; 44,3%; el departamento de Santa Cruz tuvo 8.059) las recuperaciones en Latinoamérica están entre el 94,1% en Cuba y 10,0% en Honduras. Comparativamente, Estados Unidos, con un nivel muy privilegiado en desarrollo de la salud pública, su morbilidad el lunes fue de 788,3, tasa de mortalidad de 4,9, mortalidad por 100 mil habitantes de 0,038 y su índice de recuperación era del 26,7.
 Tenemos dos nuevos elementos de análisis importantes: por un lado, las cantidades de casos detectados, recuperados, fallecidos y casos activos (éstos resultado de restar los recuperados y los fallecidos), las cuales aparecen en el gráfico anterior que demuestra la diferencia creciente entre el total de detectados y el de activos gracias a un incremento sostenido de pacientes recuperados sobre todo en el departamento de Santa Cruz y a una baja tasa de mortalidad; por otro, el comportamiento de las curvas respectivas, sobre todo la de contagios.
 
 Y éste es un éxito importante. Siguiendo los pronósticos de Edgar Villegas el ingeniero que demostró primero el megafraude en los resultados de las elecciones pasadas- de que se alcanzarían 10 mil casos a fines de mayo -el 31 se alcanzaron 9.982 y cifra de seis dígitos a fines de junio, siguiendo el comportamiento de duplicación de los casos de contagiados cada 10 días, encontramos que la cifra de afectados el lunes 29 fue de 32.125 casos totales, lo que significa un aplane de la curva de contagios reducción de crecimiento por 18 días, beneficiando los centros hospitalarios con una menor saturación crítica además del aumento de recuperados y, en consecuencia, disminución de casos activos pero, en contraparte, alargando el proceso de la endemia.
 
 Como mencioné antes, el otro gran actor del período son las elecciones fijadas para el 6 de septiembre próximo por la Ley 691  de modificación de la Ley 1297 de postergación de las elecciones generales 2020, promulgada semanas atrás por acuerdo del Tribunal Supremo Electoral con varios frentes políticos.
 Como base de mi análisis me referiré a las proyecciones actualizadas periódicamente del Institute for Health Metrics and Evaluation (IHME) de la Universidad de Washington en Seattle, entidad reconocida por la OMS y financiada principalmente por la  Fundación Bill y Melinda Gates. 
 A fines de mayo, el pronóstico del IHME para Bolivia era que el pico de la pandemia estaría el 27 de julio con 93.000 casos detectados promedio. Sin embargo, las medidas para flexibilizar la cuarentena en muchos municipios del país dieron tres escenarios el 29 de junio -corrigiendo el que dio el 20 pasado que utilicé en otros análisis-: el primero, con las medidas de la cuarentena rígida, tendría su pico el 7 de agosto, con más de 29.000 casos promedio; el segundo, haciéndolas más rígidas (uso obligatorio de barbijo para todos, distancia social indefectible, desinfección continuada, entre otros) daría su máximo el 3 de agosto, con más de 23.000 casos detectados promedio, y, el tercero, flexibilizando la cuarentena -proceso progresivo actual en el país-, tendría su pico el 6 de septiembre (fecha electoral) con más de 93.000 casos detectados, iniciando su descenso (sinusoidal) hasta entrado noviembre, cuando alcanzaría valores cercanos a R0 (R es el índice de reproducción o contagio; por ende, R0 es cuando tienden a cesar prácticamente los contagios y se da por concluido este ciclo de la endemia).
  
 ",1-7-2020,sociedad
